,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
70,,,,,Top 100 quality games:,Top 100:,19,81.2,3.8,7.0,110.5,20.0,55.1,57.5,3.7,12.9,10.1,17.2,2.5,3.0,19.5,33-42,.786,33-71,.465,57-144,.396,,,,,,,,
71,,,,,Top 50 quality games:,Top 50:,11,79.6,2.8,5.2,100.5,20.2,51.2,53.1,3.0,11.3,9.6,17.6,1.9,3.4,14.3,14-18,.778,18-44,.409,31-82,.378,,,,,,,,
72,2008,Sr,6-11,Mickell Gladness,Alabama A&M,SWAC,26,77.7,0.5,2.3,96.6,18.5,44.9,51.6,6.8,24.1,5.5,20.0,14.1,1.5,61.6,86-122,.705,89-196,.454,0-2,.000,,,,,,,,
73,,,,,Conf. games:,Conf. games:,18,78.2,1.3,3.1,106.4,18.4,50.8,57.8,6.8,24.6,5.3,19.2,13.6,1.4,78.1,73-100,.730,65-126,.516,0-2,.000,,,,,,,,
74,,,,,Top 100 quality games:,Top 100:,3,72.5,-2.5,-2.4,62.4,13.6,25.0,30.7,6.2,19.9,11.4,29.3,8.3,0.7,25.0,3-4,.750,4-16,.250,0-0,.000,,,,,,,,
75,,,,,Top 50 quality games:,Top 50:,3,72.5,-2.5,-2.4,62.4,13.6,25.0,30.7,6.2,19.9,11.4,29.3,8.3,0.7,25.0,3-4,.750,4-16,.250,0-0,.000,,,,,,,,
76,2008,So,6-4,Andrew Williams,Alabama A&M,SWAC,25,34.8,0.3,-1.6,103.0,14.6,52.4,51.9,8.9,10.0,5.0,17.2,1.4,2.8,26.2,10-22,.455,14-36,.389,20-48,.417,,,,,,,,
77,,,,,Conf. games:,Conf. games:,18,41.0,0.3,-1.7,105.1,14.6,55.2,55.0,9.3,9.8,4.5,19.8,1.7,2.9,20.9,7-14,.500,13-30,.433,16-37,.432,,,,,,,,
78,,,,,Top 100 quality games:,Top 100:,3,26.7,0.9,1.6,109.0,15.9,50.0,45.9,5.6,8.3,17.5,0.0,0.0,1.8,44.4,1-4,.250,0-1,.000,3-8,.375,,,,,,,,
79,,,,,Top 50 quality games:,Top 50:,3,26.7,0.9,1.6,109.0,15.9,50.0,45.9,5.6,8.3,17.5,0.0,0.0,1.8,44.4,1-4,.250,0-1,.000,3-8,.375,,,,,,,,
80,2008,So,6-4,LaNorris Smith,Alabama A&M,SWAC,24,35.4,-0.4,-4.6,84.5,17.2,41.8,43.2,2.8,9.2,7.3,19.7,0.6,2.3,26.0,14-27,.519,12-38,.316,21-66,.318,,,,,,,,
81,,,,,Conf. games:,Conf. games:,16,28.9,-0.1,-3.0,94.4,16.4,48.1,48.8,2.6,9.6,8.4,18.3,0.0,3.3,33.3,9-18,.500,8-21,.381,12-33,.364,,,,,,,,
82,,,,,Top 100 quality games:,Top 100:,3,58.3,-1.6,-8.1,63.9,17.2,34.1,34.1,1.3,5.7,3.9,24.0,0.0,0.8,0.0,0-0,.000,3-10,.300,3-12,.250,,,,,,,,
83,,,,,Top 50 quality games:,Top 50:,3,58.3,-1.6,-8.1,63.9,17.2,34.1,34.1,1.3,5.7,3.9,24.0,0.0,0.8,0.0,0-0,.000,3-10,.300,3-12,.250,,,,,,,,
84,2008,Fr,6-3,Isiah Cross,Alabama A&M,SWAC,11,9.2,-1.1,-10.3,58.3,11.7,19.4,23.7,3.3,2.4,10.3,25.2,0.0,1.8,11.1,2-2,1.000,2-9,.222,1-9,.111,,,,,,,,
85,,,,,Conf. games:,Conf. games:,7,11.1,-1.1,-9.7,71.3,10.8,21.9,26.5,2.8,2.8,9.7,13.1,0.0,1.4,12.5,2-2,1.000,2-8,.250,1-8,.125,,,,,,,,
86,,,,,Top 100 quality games:,Top 100:,3,8.3,-0.9,-18.5,8.9,16.1,0.0,0.0,9.0,0.0,0.0,72.2,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,,,,,
87,,,,,Top 50 quality games:,Top 50:,3,8.3,-0.9,-18.5,8.9,16.1,0.0,0.0,9.0,0.0,0.0,72.2,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,,,,,
88,2008,Jr,6-8,Norris Arnold,Alabama A&M,SWAC,14,8.5,-0.4,-6.3,80.1,10.2,33.3,44.6,4.7,9.0,6.8,31.4,3.5,2.6,77.8,5-7,.714,3-9,.333,0-0,.000,,,,,,,,
89,,,,,Conf. games:,Conf. games:,7,6.4,0.3,-4.9,119.2,11.5,50.0,60.6,9.6,14.4,13.3,21.6,4.4,1.2,50.0,3-3,1.000,3-6,.500,0-0,.000,,,,,,,,
90,,,,,Top 100 quality games:,Top 100:,3,17.5,-1.6,-10.7,22.0,11.6,0.0,16.9,0.0,6.3,0.0,47.6,0.0,2.7,100.0,1-2,.500,0-2,.000,0-0,.000,,,,,,,,
91,,,,,Top 50 quality games:,Top 50:,3,17.5,-1.6,-10.7,22.0,11.6,0.0,16.9,0.0,6.3,0.0,47.6,0.0,2.7,100.0,1-2,.500,0-2,.000,0-0,.000,,,,,,,,
92,2008,Sr,6-7,Brandon Gordon,Alabama St.,SWAC,28,63.2,1.0,-1.2,102.9,19.0,50.5,51.8,6.9,16.6,7.4,15.8,2.0,1.6,34.8,41-72,.569,70-148,.473,23-59,.390,,,,,,,,
93,,,,,Conf. games:,Conf. games:,18,58.9,1.3,-0.8,112.7,17.4,55.3,56.7,6.4,16.8,5.6,13.8,2.0,1.0,40.7,28-46,.609,37-81,.457,17-32,.531,,,,,,,,
94,,,,,Top 100 quality games:,Top 100:,4,64.4,-0.8,-7.0,73.0,19.0,33.3,36.0,2.8,12.8,6.5,15.2,0.9,1.2,33.3,5-10,.500,7-22,.318,2-8,.250,,,,,,,,
95,,,,,Top 50 quality games:,Top 50:,3,69.2,-3.3,-8.6,52.6,14.4,14.7,23.2,3.5,11.0,4.9,20.6,1.2,1.5,29.4,4-5,.800,1-13,.077,1-4,.250,,,,,,,,
96,2008,Sr,6-7,Joel Bosh,Alabama St.,SWAC,26,54.9,0.9,-1.7,107.4,15.3,47.1,52.4,8.1,12.1,5.2,16.3,2.7,1.2,36.4,40-51,.784,33-73,.452,22-67,.328,,,,,,,,
97,,,,,Conf. games:,Conf. games:,17,59.2,1.0,-2.5,111.1,14.8,47.9,52.7,9.6,13.0,3.2,14.2,2.4,1.0,38.3,27-36,.750,24-50,.480,14-44,.318,,,,,,,,
98,,,,,Top 100 quality games:,Top 100:,4,51.3,0.1,-3.3,87.8,15.5,33.3,41.7,4.6,8.6,12.8,18.8,1.2,1.5,27.8,5-5,1.000,3-9,.333,2-9,.222,,,,,,,,
